Drug1,Drug2,Cell line,label
5-Fluorouracil,SRA737,769-P,0
5-Fluorouracil,SRA737,BFTC-905,1
5-Fluorouracil,SRA737,BL-41,1
5-Fluorouracil,SRA737,BT-549,1
5-Fluorouracil,SRA737,CAL-62,0
5-Fluorouracil,SRA737,CAL-85-1,1
5-Fluorouracil,SRA737,CAMA-1,1
5-Fluorouracil,SRA737,CML-T1,0
5-Fluorouracil,SRA737,COLO-679,0
5-Fluorouracil,SRA737,COLO-680N,1
5-Fluorouracil,SRA737,CW-2,1
5-Fluorouracil,SRA737,Caov-4,0
5-Fluorouracil,SRA737,DB,0
5-Fluorouracil,SRA737,ECC10,1
5-Fluorouracil,SRA737,EFM-19,1
5-Fluorouracil,SRA737,EN,0
5-Fluorouracil,SRA737,FU97,0
5-Fluorouracil,SRA737,GAMG,0
5-Fluorouracil,SRA737,GI-1,0
5-Fluorouracil,SRA737,HCC1395,0
5-Fluorouracil,SRA737,HCC38,1
5-Fluorouracil,SRA737,HCC70,1
5-Fluorouracil,SRA737,HH,1
5-Fluorouracil,SRA737,HOS,1
5-Fluorouracil,SRA737,HPAF-II,1
5-Fluorouracil,SRA737,HuCCT1,1
5-Fluorouracil,SRA737,IA-LM,0
5-Fluorouracil,SRA737,IGR-37,0
5-Fluorouracil,SRA737,K-562,0
5-Fluorouracil,SRA737,KALS-1,1
5-Fluorouracil,SRA737,KARPAS-299,1
5-Fluorouracil,SRA737,KMRC-1,1
5-Fluorouracil,SRA737,KNS-62,1
5-Fluorouracil,SRA737,KP-3,1
5-Fluorouracil,SRA737,KU812,0
5-Fluorouracil,SRA737,KURAMOCHI,0
5-Fluorouracil,SRA737,KYM-1,0
5-Fluorouracil,SRA737,KYSE-70,0
5-Fluorouracil,SRA737,L-363,1
5-Fluorouracil,SRA737,L-540,0
5-Fluorouracil,SRA737,LK-2,1
5-Fluorouracil,SRA737,LoVo,1
5-Fluorouracil,SRA737,MDA-MB-157,1
5-Fluorouracil,SRA737,MDA-MB-415,1
5-Fluorouracil,SRA737,MDA-MB-436,1
5-Fluorouracil,SRA737,MDA-MB-453,1
5-Fluorouracil,SRA737,MFE-280,0
5-Fluorouracil,SRA737,MG-63,1
5-Fluorouracil,SRA737,MHH-ES-1,1
5-Fluorouracil,SRA737,MONO-MAC-6,1
5-Fluorouracil,SRA737,MSTO-211H,1
5-Fluorouracil,SRA737,MV-4-11,1
5-Fluorouracil,SRA737,NCI-H1355,1
5-Fluorouracil,SRA737,NCI-H1581,1
5-Fluorouracil,SRA737,NCI-H1648,0
5-Fluorouracil,SRA737,NCI-H1703,0
5-Fluorouracil,SRA737,NCI-H1755,1
5-Fluorouracil,SRA737,NCI-H1792,1
5-Fluorouracil,SRA737,NCI-H2066,0
5-Fluorouracil,SRA737,NCI-H2085,0
5-Fluorouracil,SRA737,NCI-H211,1
5-Fluorouracil,SRA737,NCI-H2452,1
5-Fluorouracil,SRA737,NCI-H3122,1
5-Fluorouracil,SRA737,NCI-H358,0
5-Fluorouracil,SRA737,NCI-H526,1
5-Fluorouracil,SRA737,NCI-H69,0
5-Fluorouracil,SRA737,NCI-H727,1
5-Fluorouracil,SRA737,NCI-H841,0
5-Fluorouracil,SRA737,NCI-H929,1
5-Fluorouracil,SRA737,NCI-N87,1
5-Fluorouracil,SRA737,OCUM-1,0
5-Fluorouracil,SRA737,OE33,1
5-Fluorouracil,SRA737,OPM-2,1
5-Fluorouracil,SRA737,PC-14,1
5-Fluorouracil,SRA737,PSN1,1
5-Fluorouracil,SRA737,RKN,0
5-Fluorouracil,SRA737,RPMI-8402,0
5-Fluorouracil,SRA737,RT-112,1
5-Fluorouracil,SRA737,SCC-4,1
5-Fluorouracil,SRA737,SH-4,0
5-Fluorouracil,SRA737,SHP-77,1
5-Fluorouracil,SRA737,SJSA-1,1
5-Fluorouracil,SRA737,SK-LMS-1,0
5-Fluorouracil,SRA737,SK-MEL-1,0
5-Fluorouracil,SRA737,SK-MEL-2,0
5-Fluorouracil,SRA737,SK-N-FI,0
5-Fluorouracil,SRA737,SK-N-SH,0
5-Fluorouracil,SRA737,SK-OV-3,0
5-Fluorouracil,SRA737,SNU-387,1
5-Fluorouracil,SRA737,SNU-423,1
5-Fluorouracil,SRA737,SNU-C1,1
5-Fluorouracil,SRA737,SUP-T1,1
5-Fluorouracil,SRA737,SW1116,0
5-Fluorouracil,SRA737,SW1417,1
5-Fluorouracil,SRA737,SW837,1
5-Fluorouracil,SRA737,T84,1
5-Fluorouracil,SRA737,T98G,0
5-Fluorouracil,SRA737,TGBC11TKB,1
5-Fluorouracil,SRA737,TT,1
5-Fluorouracil,SRA737,UACC-62,0
5-Fluorouracil,SRA737,WM-115,0
5-Fluorouracil,SRA737,WSU-DLCL2,1
5-Fluorouracil,SRA737,YAPC,1
AZD0156,AZD1775,42-MG-BA,1
AZD0156,AZD1775,5637,0
AZD0156,AZD1775,639-V,0
AZD0156,AZD1775,786-0,1
AZD0156,AZD1775,8-MG-BA,0
AZD0156,AZD1775,8305C,1
AZD0156,AZD1775,A172,0
AZD0156,AZD1775,A2058,0
AZD0156,AZD1775,A498,0
AZD0156,AZD1775,AGS,0
AZD0156,AZD1775,ALL-SIL,0
AZD0156,AZD1775,AM-38,1
AZD0156,AZD1775,BFTC-909,0
AZD0156,AZD1775,BL-41,1
AZD0156,AZD1775,BT-20,0
AZD0156,AZD1775,BV-173,1
AZD0156,AZD1775,BxPC-3,0
AZD0156,AZD1775,C2BBe1,1
AZD0156,AZD1775,CADO-ES1,1
AZD0156,AZD1775,CAL-120,0
AZD0156,AZD1775,CAL-148,0
AZD0156,AZD1775,CAL-51,0
AZD0156,AZD1775,CAL-54,0
AZD0156,AZD1775,CAL-78,0
AZD0156,AZD1775,CAS-1,0
AZD0156,AZD1775,CCRF-CEM,1
AZD0156,AZD1775,CFPAC-1,0
AZD0156,AZD1775,CML-T1,0
AZD0156,AZD1775,COLO-678,0
AZD0156,AZD1775,COLO-679,0
AZD0156,AZD1775,COR-L23,1
AZD0156,AZD1775,COR-L279,0
AZD0156,AZD1775,COR-L311,0
AZD0156,AZD1775,Calu-3,0
AZD0156,AZD1775,Calu-6,0
AZD0156,AZD1775,Caov-3,0
AZD0156,AZD1775,DU-145,0
AZD0156,AZD1775,Daoy,0
AZD0156,AZD1775,Daudi,0
AZD0156,AZD1775,EFM-192A,0
AZD0156,AZD1775,EFO-21,0
AZD0156,AZD1775,EJM,0
AZD0156,AZD1775,EN,0
AZD0156,AZD1775,ES-2,0
AZD0156,AZD1775,ESS-1,0
AZD0156,AZD1775,G-401,0
AZD0156,AZD1775,G-402,0
AZD0156,AZD1775,GA-10,1
AZD0156,AZD1775,GCIY,0
AZD0156,AZD1775,GCT,0
AZD0156,AZD1775,GDM-1,0
AZD0156,AZD1775,H4,0
AZD0156,AZD1775,HCC-15,0
AZD0156,AZD1775,HCC-78,1
AZD0156,AZD1775,HCC1395,0
AZD0156,AZD1775,HCC1419,0
AZD0156,AZD1775,HCC1428,0
AZD0156,AZD1775,HCC1937,0
AZD0156,AZD1775,HCC1954,0
AZD0156,AZD1775,HCC2157,0
AZD0156,AZD1775,HCT-15,1
AZD0156,AZD1775,HDLM-2,0
AZD0156,AZD1775,HDQ-P1,1
AZD0156,AZD1775,HL-60,0
AZD0156,AZD1775,HOP-62,0
AZD0156,AZD1775,HOP-92,0
AZD0156,AZD1775,HSC-2,0
AZD0156,AZD1775,HSC-3,0
AZD0156,AZD1775,HSC-4,0
AZD0156,AZD1775,HT-1376,0
AZD0156,AZD1775,HT-144,0
AZD0156,AZD1775,HT-29,0
